GrossElecPower; WallLoad; BMax; SigmaMax; Li6; NeutShield; BlktSupport; ThermalEff; Kappa; PlasmaT; SafetyFac; GamCD; ElectEffCD; PowerRecirc; ZEff; Delta; RMajor; RMinor; Aspect; StableKappa; BootFrac; PlasVol; PlasSurf; FusPower; PowerCD; PowerCDElec; CoolantPower; NetElecPower; HFact; n_nG; DivLoad; MagField; betaN; LineRad; BremRad; SynchRad; MagThk; BlnkThk; Bore; WallLoadCalc; ExitCode; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -1.0; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.15791100910558373; 776.450150120112; 655.7236410222204; 2613.3333333333335; 217.7460422720007; 435.4920845440014; 166.66666666666669; 397.8412487893319; 0.6549537392177187; 1.1281585542115862; 40.05956305879917; 1.300737790046296; 8.425075452633836; 0.0; 19.007167354067626; 0.43352358456460294; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.188335048294867; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.9; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.1732049124876983; 776.450150120112; 655.7236410222204; 2613.3333333333335; 202.2722096005273; 404.5444192010546; 166.66666666666669; 428.78891413227876; 0.694103550408718; 1.1924058281975123; 39.19978631270059; 1.300737790046296; 8.904873375484977; 0.0; 19.007167354067626; 0.43352358456460294; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.188335048294867; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.8; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.1864689785489223; 776.450150120112; 655.7236410222204; 2613.3333333333335; 190.27309005127356; 380.5461801025471; 166.66666666666669; 452.78715323078615; 0.7275099558218582; 1.2472662419349962; 38.533075990756615; 1.300737790046296; 9.314570331090675; 0.0; 19.007167354067626; 0.43352358456460294; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.188335048294867; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.7; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.19382218142397717; 802.7904510772345; 642.7257800886275; 2613.3333333333335; 179.05307808417558; 358.10615616835116; 166.66666666666669; 475.22717716498215; 0.7732723603895483; 1.31344373875928; 37.909045125940445; 1.300737790046296; 9.486947843740346; 0.0; 19.007167354067626; 0.4445076031304257; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.252812834702816; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.6; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.1989987989878935; 822.2121550696177; 629.9051934038483; 2613.3333333333335; 171.3914092750222; 342.7828185500444; 166.66666666666669; 490.550514783289; 0.8079110494231974; 1.363347413877874; 37.48289095361396; 1.300737790046296; 9.614791753745122; 0.0; 19.00716735406763; 0.452548849236213; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.319017986451633; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.5; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.2017477671991572; 836.9355964379879; 617.3856061194291; 2613.3333333333335; 166.63727803168348; 333.27455606336696; 166.66666666666669; 500.05877726996636; 0.8319784154192756; 1.3974310870085576; 37.218398918079544; 1.300737790046296; 9.6817886325454; 0.0; 19.007167354067615; 0.45861322571226243; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.3863223339584008; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.3999999999999999; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.20193766359006105; 848.0767195085411; 605.2313546067045; 2613.3333333333335; 164.45129844878232; 328.90259689756465; 166.66666666666669; 504.43073643576867; 0.8455812780240684; 1.4156696765513337; 37.096684755756904; 1.300737790046296; 9.679301647986666; 0.0; 19.00716735406763; 0.4631843759815222; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.4543264336085793; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.29999999999999993; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.19951488543574514; 856.2713704275398; 593.4712367133554; 2613.3333333333335; 164.67610556932416; 329.35221113864833; 166.66666666666669; 503.98112219468504; 0.8487624708540198; 1.41802893845313; 37.108989490561605; 1.300737790046296; 9.602645729474425; 0.0; 19.007167354067633; 0.4665370220928004; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.522776736821791; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.19999999999999996; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.19449131733068487; 861.9025096532744; 582.1113767679911; 2613.3333333333335; 167.2891750231732; 334.5783500463464; 166.66666666666669; 498.75498328698694; 0.8416405638672952; 1.4046392760117727; 37.254052423874185; 1.300737790046296; 9.449827895911653; 0.0; 19.007167354067626; 0.4688362183164798; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.591523461153607; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; -0.09999999999999998; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.18694132072657313; 865.1995118505807; 571.1423818766702; 2613.333333333334; 172.38822776076128; 344.77645552152256; 166.66666666666669; 488.5568778118107; 0.8244690407036578; 1.3758677990423813; 37.53729776843823; 1.300737790046296; 9.22099267946684; 0.0; 19.007167354067622; 0.4701806419195533; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.660499961142992; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.0; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.1770024992685805; 866.2855435539502; 560.5434194824902; 2613.3333333333335; 180.1960274909388; 360.3920549818776; 166.66666666666669; 472.94127835145565; 0.7976593529369133; 1.3323420199042213; 37.97110006392821; 1.300737790046296; 8.918090896158454; 0.0; 19.00716735406762; 0.47062321412213065; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.729714048907809; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.10000000000000009; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.1648779469335858; 865.1995118505805; 550.2844391495468; 2613.3333333333335; 191.08256650242788; 382.16513300485576; 166.66666666666669; 451.16820032847755; 0.7617837446527803; 1.274944581797996; 38.57601636356726; 1.300737790046296; 8.544610654939174; 0.0; 19.007167354067626; 0.4701806419195532; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.7992472945405273; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.20000000000000018; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.15083851206414234; 861.9025096532747; 540.3270719298527; 2613.333333333333; 205.6089065586823; 411.2178131173646; 166.66666666666669; 422.11552021596873; 0.7175651540161924; 1.2047884269361078; 39.38322202202481; 1.300737790046296; 8.105314638401815; 0.0; 19.007167354067626; 0.4688362183164801; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.869261370154122; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.30000000000000004; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.1352238066343791; 856.2713704275409; 530.6243249518191; 2613.333333333334; 224.60393360847772; 449.20786721695544; 166.66666666666669; 384.1254661163778; 0.6658585817493942; 1.1231785179660714; 40.43877559373216; 1.300737790046296; 7.605969882920543; 0.0; 19.007167354067626; 0.46653702209280073; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 3.940012864763599; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.40000000000000013; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.11844076164419862; 848.0767195085402; 521.1187931179854; 2613.3333333333335; 249.29720147774728; 498.59440295549456; 166.66666666666669; 334.73893037783876; 0.6076271475854714; 1.031564810937958; 41.81100059300402; 1.300737790046296; 7.053076815801093; 0.0; 19.007167354067626; 0.46318437598152185; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 4.011881156996239; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.5; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.10095868120995875; 836.9355964379879; 511.7384618841744; 2613.3333333333335; 281.5554651810633; 563.1109303621266; 166.66666666666669; 270.2224029712067; 0.5439152067297267; 0.9314898164532387; 43.603629204108806; 1.300737790046296; 6.453618786722711; 0.0; 19.007167354067615; 0.45861322571226243; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 4.085420233939467; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.6000000000000001; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.0833001170059299; 822.2121550696194; 502.3876511413543; 2613.333333333333; 324.32653687412596; 648.6530737482519; 166.66666666666669; 184.6802595850814; 0.47581924789626545; 0.8245312351873567; 45.98046677487349; 1.300737790046296; 5.814875973714801; 0.0; 19.007167354067622; 0.4525488492362136; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 4.161461098649549; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.7000000000000002; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.06602769103031195; 802.790451077234; 492.9261100487683; 2613.333333333333; 382.5385505313663; 765.0771010627326; 166.66666666666669; 68.25623227060072; 0.40445173735779744; 0.7122315590983919; 49.21536341782091; 1.300737790046296; 5.144418032107792; 0.0; 19.007167354067622; 0.4445076031304254; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 4.241338862045315; 0; 
1000.0; 4.0; 13.0; 500.0; 0.075; 0.99; 0.3; 0.3; 1.8; 15.0; 3.5; 0.5; 0.5; 0.05; 1.0; 0.8; 4.0508435131424685; 2.453335922000596; 1.65115729844251; 2.2278636194294985; 0.049729207454879305; 776.4501501201112; 483.11184267276917; 2613.333333333334; 465.14118256265294; 930.2823651253059; 166.66666666666669; -96.94903179197257; 0.33086748127280025; 0.5959708382271722; 53.80564609043406; 1.300737790046296; 4.4507035477316945; 0.0; 19.00716735406763; 0.43352358456460266; 0.5256150678354712; 1.192193341979695; -0.12030081867329367; 4.327500346711142; 0; 
